num,name,dialogue,is_selection,selection_dialogue,next_dialogue,CharacterID,using_food,using_medical,using_metarial
0,강훈,유찬아...,false,,,3,,,
,최유찬,왜% 왜그렇게 애처롭게 부르는거야...?,false,,,0,,,
,강훈,나...,false,,,3,,,
,강훈,배고파...,false,,,3,,,
,최유찬,오늘 배식 안먹었어? 아니% 너 받았었잖아.,false,,,0,,,
,강훈,아니% 맨날 먹는 통조림 말고,FALSE,,,3,,,
,강훈,피자라던가... 햄버거라던가...,TRUE,이거 먹을래?,8,3,3,,
,,,,저런...,11,,,,
,최유찬,그런건 없는데... 대신 이거라도 먹을래?,FALSE,,,,,,
,최유찬,전에 나갔을 때 주워오긴 했는데%,FALSE,,,,,,
,최유찬,나보단 너한테 더 필요할거 같다.,FALSE,,,,,,
,최유찬,밖에가 저런데 피자는 뭔 피자야.,FALSE,,,,,,
,최유찬,그러고 있을거면 가서 서호 형이나 도와.,FALSE,,,,,,
1,강훈,심심해...,FALSE,,,,,,
,강훈,가만히 있는 것도 하루이틀이지% 이건 너무 아무 것도 없잖아!,FALSE,,,,,,
,강훈,다음 번에 나도 데려가!,TRUE,어% 어... 그래...,4,,,,
,,,,안돼,7,,,,
,최유찬,어% 어... 그래...,FALSE,,,,,,
,최유찬,다음에 같이 가자...,FALSE,,,,,,
,최유찬,안돼. 너 그냥 좀비 잡고 싶은 거잖아,FALSE,,,,,,
,최유찬,뭔 사고를 칠 줄 알고 데려가.,FALSE,,,,,,
2,강훈,서호형은 대단한거 같아...,FALSE,,,,,,
,강훈,거의 박살난 상태였는데% 이거봐!,FALSE,,,,,,
,강훈,완전 멀쩡해!,FALSE,,,,,,
,강훈,너 그거 진짜 아낀다. 그정도면 그냥 버려도 되지 않아?,FALSE,,,,,,
,강훈,안돼! 이 방망이 덕분에 내가 몇번을 살았는데!,FALSE,,,,,,
,강훈,그건 걔가 아니라 너가 대단한거고...,FALSE,,,,,,
3,최유찬,야% 내가 앞에 나서지 말라고 했지!,FALSE,,,,,,
,최유찬,이게 몇 번째야!,FALSE,,,,,,
,강훈,이게 내 잘못이야?,FALSE,,,,,,
,강훈,뒤에서 빨리 쫓아와야지% 너네들이 느린거잖아!,FALSE,,,,,,
,최유찬,너 지금 뭐라했냐?,FALSE,,,,,,
,최유찬,내가 이런말 괜히 하는 줄 알아?,FALSE,,,,,,
,최유찬,너 이런 식으로 다치는게 지금 한두번인줄 알아?,,,,,,2,
,강훈,뭐% 어쩌라고. ,TRUE,이거나 발라,9,,,,
,,,,됐다% 그냥,12,,,,
,최유찬,하... 진짜 이걸 어떻게 하지,FALSE,,,,,,
,최유찬,됐다% 이거나 발라.,FALSE,,,,,,
,최유찬,피냄새 나는거 싫다.,FALSE,,,,,,
,최유찬,됐다% 관둬 다.,FALSE,,,,,,
,최유찬,너랑 뭔 얘기를 하겠냐,FALSE,,,,,,
