num,name,dialogue,is_selection,selection_dialogue,next_dialogue,CharacterID,using_food,using_medical,using_metarial
0,최유찬,밖에 나가서 바람 좀 쐬고 오고 싶지 않아?,FALSE,,,3,,,
,채서하,그래. 때로는… 밖이 무섭지만% 답답할 때도 많아.,FALSE,,,0,,,
,채서하,가끔 그저 걷고 싶은 생각도 들어. 예전처럼.,FALSE,,,,,,
,최유찬,나도 그 생각 많이 해. 언젠가 다시 돌아갈 수 있을까?,FALSE,,,,,,
,채서하,글쎄… 그래도 희망만은 잃지 말자고.,FALSE,,,,,,
1,최유찬,요즘 나가는 게 더 힘들어졌지?,FALSE,,,,,,
,채서하,맞아. 하지만 우리가 해야 할 일이라면… 어쩔 수 없지.,FALSE,,,,,,
,최유찬,힘들면 말해. 쉬어가도 괜찮아.,FALSE,,,,,,
,채서하,고마워. 그렇게 말해줘서… 조금 안심이 돼.,FALSE,,,,,,
2,채서하,"나중에라도, 이 일이 끝나면 무엇부터 하고 싶어?",FALSE,,,,,,
,최유찬,글쎄… 그냥 조용한 곳에서 푹 쉬고 싶어.,FALSE,,,,,,
,채서하,좋다. 나도 그런 게 그리워.,FALSE,,,,,,
,최유찬,언젠간 그렇게 될 거야. 그때까지 잘 버티자.,FALSE,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,2,
